Cliente,Auto,Ubicación,Fecha,Pago,Seguro Empresa
3158,135,542,27/07/2017,Efectivo,SI
628,147,355,07/12/2018,Credito,NO
1873,154,377,14/12/2017,Efectivo,SI
3633,13,339,28/12/2019,Efectivo,NO
16,8,122,05/04/2016,Credito,NO
877,136,539,23/10/2018,Efectivo,NO
2136,47,420,06/01/2018,Credito,SI
227,25,343,05/06/2015,Efectivo,SI
1483,11,581,25/08/2018,Efectivo,SI
119,93,407,03/11/2017,Credito,SI
3687,109,325,15/10/2017,Credito,NO
2724,139,134,17/09/2017,Credito,NO
1132,142,550,04/10/2018,Efectivo,NO
2160,25,351,14/04/2018,Efectivo,SI
3006,38,236,28/10/2018,Credito,SI
2391,83,446,18/09/2016,Credito,SI
3944,112,518,12/07/2016,Efectivo,NO
1445,149,26,02/01/2017,Efectivo,NO
1510,66,595,08/12/2017,Efectivo,SI
96,71,268,13/08/2016,Credito,NO
2185,104,141,28/08/2019,Credito,NO
2442,90,28,04/10/2015,Efectivo,SI
3744,1,304,15/01/2017,Efectivo,SI
3822,18,47,01/03/2016,Efectivo,NO
3217,71,525,07/11/2016,Credito,SI
1271,62,281,12/12/2019,Efectivo,SI
949,127,214,20/12/2017,Efectivo,SI
707,75,51,14/05/2016,Efectivo,SI
250,77,291,17/12/2017,Credito,NO
3091,13,64,04/02/2017,Efectivo,SI
2519,92,209,07/07/2017,Credito,SI
2912,90,380,05/12/2018,Efectivo,SI
2507,81,74,27/07/2018,Credito,NO
2815,150,347,05/07/2019,Efectivo,NO
1583,133,116,23/07/2017,Efectivo,NO
84,140,309,05/07/2015,Efectivo,NO
961,105,551,10/11/2018,Credito,SI
188,72,76,17/10/2015,Efectivo,NO
168,69,439,16/07/2019,Credito,NO
428,138,229,02/02/2017,Efectivo,NO
3691,93,226,01/12/2018,Efectivo,NO
2169,141,15,16/07/2017,Credito,NO
2652,49,474,10/06/2018,Efectivo,SI
353,43,473,20/09/2019,Credito,NO
3750,129,304,01/09/2017,Efectivo,NO
1116,106,65,11/04/2016,Efectivo,NO
3211,85,238,10/06/2019,Efectivo,SI
1836,121,515,28/01/2018,Efectivo,NO
1106,85,389,09/10/2017,Credito,SI
1459,100,355,09/01/2017,Credito,SI
2036,132,337,16/04/2019,Credito,SI
1450,111,124,02/04/2015,Credito,SI
3571,13,427,04/03/2017,Credito,SI
2494,88,310,19/05/2019,Credito,SI
3403,111,92,31/12/2015,Credito,NO
970,18,483,15/12/2015,Efectivo,SI
174,82,538,23/06/2016,Efectivo,NO
2398,9,453,26/11/2015,Credito,SI
1928,7,21,08/11/2016,Credito,SI
937,47,426,05/08/2018,Credito,NO
3760,132,516,27/02/2018,Efectivo,NO
1363,104,50,22/02/2018,Credito,NO
2105,130,422,01/06/2017,Credito,SI
70,14,219,17/10/2016,Efectivo,SI
752,17,580,30/01/2018,Efectivo,NO
200,127,280,13/08/2018,Efectivo,SI
388,83,83,08/04/2019,Efectivo,SI
2167,94,225,23/01/2018,Efectivo,NO
889,150,118,29/06/2015,Efectivo,SI
713,78,315,18/07/2017,Credito,SI
2020,3,520,05/09/2016,Efectivo,NO
3232,25,133,29/11/2015,Credito,SI
3604,66,142,26/09/2016,Credito,NO
1693,129,242,22/09/2018,Efectivo,NO
1537,46,337,11/09/2016,Credito,NO
3368,129,149,01/02/2016,Efectivo,NO
3287,119,189,17/07/2018,Efectivo,NO
21,47,245,17/07/2019,Credito,SI
352,129,100,08/04/2015,Efectivo,NO
3460,44,62,21/06/2016,Efectivo,SI
2637,91,355,25/02/2018,Credito,NO
650,107,73,08/05/2015,Credito,NO
2423,91,151,26/03/2017,Credito,NO
3991,54,11,24/09/2018,Credito,NO
37,22,278,02/03/2017,Credito,NO
1967,125,409,12/05/2018,Credito,NO
3394,86,545,24/03/2018,Efectivo,SI
1744,28,591,19/09/2018,Efectivo,NO
2857,39,103,19/12/2018,Efectivo,SI
708,125,466,25/01/2017,Credito,NO
220,31,300,13/07/2018,Efectivo,NO
270,16,153,06/12/2016,Credito,SI
2734,48,503,20/05/2017,Credito,SI
1943,33,443,24/10/2015,Credito,NO
303,124,101,29/03/2015,Credito,NO
1472,1,215,24/03/2016,Credito,NO
209,90,273,04/11/2017,Credito,NO
3164,155,582,14/04/2016,Credito,NO
251,125,197,01/01/2016,Efectivo,NO
1785,142,129,01/03/2018,Credito,SI
2154,90,389,11/10/2018,Credito,SI
3498,61,90,19/07/2018,Credito,SI
3082,34,463,20/03/2019,Credito,SI
2293,60,302,18/12/2015,Efectivo,SI
3698,112,289,05/12/2015,Efectivo,SI
1807,1,197,31/01/2017,Credito,NO
416,109,277,16/07/2015,Credito,NO
471,117,78,29/03/2017,Efectivo,NO
3300,82,178,02/03/2016,Credito,NO
2370,150,183,26/10/2015,Credito,SI
2152,14,289,03/02/2017,Efectivo,NO
3386,122,432,07/01/2019,Credito,NO
1596,75,402,22/07/2017,Efectivo,NO
3965,60,170,05/05/2016,Credito,NO
2877,92,313,03/09/2017,Credito,NO
862,11,469,07/10/2016,Credito,NO
666,39,68,28/07/2016,Credito,SI
1629,147,357,06/08/2018,Efectivo,NO
850,109,375,16/11/2018,Credito,SI
545,1,60,04/04/2019,Efectivo,NO
2196,87,489,08/10/2015,Efectivo,NO
3053,113,298,11/06/2017,Credito,NO
2884,64,480,31/03/2017,Efectivo,NO
1164,107,544,12/05/2017,Efectivo,NO
3276,46,337,20/10/2019,Credito,NO
1233,86,268,13/01/2019,Efectivo,SI
2322,57,203,21/01/2019,Credito,SI
4000,128,531,08/10/2019,Credito,SI
2066,61,298,05/01/2018,Credito,NO
2479,137,535,10/12/2015,Credito,SI
3278,84,563,09/09/2017,Efectivo,NO
1660,129,589,24/04/2015,Efectivo,NO
398,39,594,24/10/2017,Credito,NO
1323,81,33,09/08/2015,Efectivo,NO
3188,68,397,04/10/2015,Efectivo,SI
2505,43,249,02/08/2018,Efectivo,SI
563,15,520,15/10/2015,Efectivo,NO
578,86,315,18/11/2019,Efectivo,SI
3413,69,203,02/11/2015,Credito,SI
1528,73,412,28/09/2017,Efectivo,SI
2998,117,208,01/12/2017,Credito,NO
247,99,31,06/01/2017,Credito,NO
3539,38,64,10/08/2017,Efectivo,SI
2839,54,102,18/03/2019,Efectivo,NO
2416,70,471,05/02/2015,Efectivo,SI
2181,126,151,15/05/2017,Efectivo,NO
2090,16,417,09/04/2015,Efectivo,SI
1803,95,491,15/11/2018,Credito,NO
2722,31,331,25/09/2016,Credito,SI
3763,40,26,30/09/2019,Efectivo,NO
3090,132,299,24/12/2019,Credito,NO
1670,70,254,28/04/2015,Credito,SI
3014,61,218,03/03/2016,Credito,SI
3828,136,128,13/05/2018,Credito,SI
405,11,436,28/04/2019,Efectivo,NO
717,55,192,29/09/2015,Efectivo,SI
1986,2,29,12/09/2017,Efectivo,NO
3109,1,427,08/11/2015,Efectivo,NO
503,42,363,20/08/2017,Credito,NO
2308,18,196,22/07/2017,Credito,NO
2557,47,105,09/11/2017,Efectivo,SI
2813,95,499,13/02/2016,Credito,NO
953,74,55,02/03/2016,Efectivo,SI
1817,112,244,15/08/2019,Credito,NO
1687,103,367,09/01/2019,Efectivo,SI
113,4,112,10/12/2015,Credito,SI
3689,125,440,15/04/2017,Credito,NO
2545,136,531,23/01/2016,Credito,SI
848,36,438,06/03/2017,Efectivo,NO
3687,144,229,16/02/2019,Efectivo,NO
1939,118,368,11/05/2015,Credito,SI
2671,39,89,24/08/2015,Credito,NO
2118,93,336,14/12/2019,Credito,NO
978,40,304,01/04/2019,Credito,SI
1271,102,62,17/04/2017,Credito,NO
220,140,164,29/11/2018,Credito,NO
588,9,353,24/04/2015,Credito,NO
1482,116,454,13/09/2017,Credito,SI
3678,133,348,14/02/2017,Efectivo,SI
1287,28,451,20/04/2018,Efectivo,NO
3442,156,141,09/12/2016,Efectivo,SI
1774,42,266,04/10/2017,Credito,SI
1624,84,336,21/06/2018,Credito,SI
2116,65,361,17/12/2017,Efectivo,SI
3253,77,89,06/03/2016,Efectivo,SI
613,109,41,07/07/2015,Credito,SI
3295,54,180,11/01/2018,Efectivo,NO
2697,18,496,22/03/2016,Credito,NO
3310,120,338,28/07/2017,Credito,NO
537,94,285,13/09/2016,Credito,NO
2254,94,376,08/01/2018,Efectivo,NO
2083,74,233,12/01/2017,Efectivo,NO
3664,101,496,20/07/2017,Credito,SI
1332,30,166,18/02/2015,Efectivo,NO
3504,39,573,10/06/2019,Credito,NO
57,16,422,01/07/2017,Credito,SI
748,127,249,29/11/2019,Credito,NO
2803,38,419,11/12/2016,Credito,SI
916,6,1,02/12/2017,Credito,NO
1654,155,601,15/06/2015,Efectivo,SI
3660,103,38,02/05/2019,Credito,NO
1326,103,230,01/10/2019,Efectivo,SI
1497,13,365,06/05/2015,Efectivo,NO
429,96,468,08/07/2018,Credito,NO
263,6,560,20/08/2016,Efectivo,SI
3420,53,340,04/02/2016,Efectivo,SI
2824,35,88,16/11/2019,Credito,SI
2227,43,113,28/10/2015,Credito,NO
1259,36,385,13/08/2019,Efectivo,NO
3306,119,282,16/08/2015,Efectivo,NO
331,102,379,13/12/2015,Efectivo,NO
3696,11,407,25/01/2019,Credito,NO
3437,30,49,30/05/2016,Efectivo,NO
1990,41,598,09/12/2017,Efectivo,SI
3722,73,579,08/05/2017,Efectivo,SI
860,9,71,14/01/2017,Credito,NO
3390,126,100,08/08/2018,Efectivo,NO
332,27,295,30/07/2015,Efectivo,SI
622,133,117,03/01/2019,Credito,NO
478,41,570,23/01/2019,Efectivo,NO
1075,125,33,06/02/2018,Credito,SI
3878,106,371,17/04/2018,Efectivo,NO
2685,139,328,01/06/2017,Efectivo,NO
3054,8,104,22/10/2018,Credito,SI
2259,59,216,30/08/2017,Efectivo,SI
578,147,535,14/09/2016,Efectivo,SI
1379,69,22,16/04/2019,Efectivo,NO
1779,11,533,15/09/2019,Credito,NO
3608,14,234,23/08/2016,Efectivo,NO
496,140,168,31/12/2016,Efectivo,NO
1986,61,156,14/07/2017,Credito,NO
1376,1,401,17/06/2018,Credito,SI
66,102,314,05/12/2015,Credito,NO
881,78,234,16/01/2017,Efectivo,NO
1795,59,397,21/05/2016,Credito,NO
3309,19,96,29/08/2018,Credito,SI
13,131,129,09/02/2019,Efectivo,NO
642,63,440,20/04/2017,Credito,NO
1596,19,276,27/05/2018,Credito,SI
2822,119,467,05/04/2016,Credito,NO
2283,136,210,05/05/2018,Efectivo,SI
586,11,321,26/09/2017,Efectivo,NO
95,133,17,10/10/2017,Efectivo,NO
2409,82,489,08/01/2019,Efectivo,SI
2346,37,77,28/06/2019,Credito,NO
3454,56,250,21/03/2018,Efectivo,SI
3429,129,53,30/10/2017,Efectivo,NO
1903,24,536,14/05/2016,Efectivo,NO
2391,129,176,29/06/2015,Credito,SI
848,51,513,29/08/2015,Efectivo,SI
841,58,212,05/03/2019,Efectivo,NO
2022,106,546,26/02/2015,Credito,SI
917,98,163,16/08/2015,Efectivo,NO
3005,73,484,15/09/2015,Credito,NO
567,78,517,25/11/2016,Credito,SI
2503,116,217,11/03/2016,Credito,NO
1328,47,81,14/02/2016,Efectivo,SI
1566,38,205,11/10/2018,Efectivo,SI
1732,42,526,01/04/2016,Efectivo,NO
1059,46,193,30/12/2015,Efectivo,SI
1155,30,92,31/12/2017,Credito,NO
3599,149,536,18/05/2015,Credito,SI
1391,73,548,09/03/2015,Credito,SI
1872,101,328,26/10/2018,Efectivo,SI
1480,66,312,20/12/2017,Credito,SI
2461,19,202,22/12/2019,Efectivo,SI
2132,10,11,21/09/2018,Credito,NO
2360,21,75,29/11/2019,Credito,NO
2508,147,4,25/02/2019,Efectivo,SI
2665,81,79,04/08/2018,Efectivo,SI
3040,129,464,06/04/2016,Efectivo,SI
1489,134,455,07/09/2019,Efectivo,SI
2688,122,346,11/07/2015,Efectivo,NO
864,112,477,12/12/2017,Efectivo,NO
282,6,474,08/07/2018,Credito,SI
3042,19,149,07/12/2018,Efectivo,NO
2332,15,17,11/12/2016,Efectivo,NO
1180,120,379,20/09/2016,Credito,SI
1428,64,62,18/04/2018,Efectivo,SI
3992,57,284,20/04/2019,Credito,SI
3647,108,69,16/04/2018,Efectivo,NO
1897,107,328,04/07/2019,Credito,SI
2744,103,291,10/06/2018,Efectivo,SI
1582,80,292,28/10/2015,Efectivo,NO
3931,157,74,13/09/2015,Efectivo,SI
1699,29,582,21/01/2019,Efectivo,NO
110,148,543,03/05/2017,Efectivo,NO
2597,143,583,29/03/2016,Credito,NO
2057,88,297,01/04/2019,Credito,NO
2963,117,241,04/11/2016,Credito,NO
1562,78,117,14/05/2016,Efectivo,NO
72,17,337,02/07/2019,Credito,NO
2477,99,215,06/01/2017,Efectivo,NO
3790,35,194,25/02/2018,Credito,SI
344,52,540,30/01/2016,Credito,NO
2581,128,560,20/11/2018,Credito,SI
1270,92,316,29/04/2019,Efectivo,NO
1944,153,577,03/03/2017,Efectivo,NO
1286,26,193,29/05/2018,Credito,SI
3862,153,328,07/07/2018,Credito,SI
1200,133,293,18/12/2017,Efectivo,SI
3932,110,403,28/04/2019,Efectivo,NO
3052,51,578,01/05/2018,Credito,NO
3479,29,70,21/12/2018,Efectivo,SI
2740,114,489,10/07/2018,Efectivo,SI
638,82,416,23/09/2017,Credito,NO
3601,107,526,09/02/2017,Efectivo,SI
345,39,253,26/06/2019,Efectivo,NO
899,37,16,12/06/2015,Credito,NO
1523,84,197,19/04/2017,Efectivo,SI
206,80,378,10/09/2015,Credito,NO
2622,38,141,18/06/2016,Credito,SI
3611,18,503,02/10/2018,Credito,NO
3601,36,128,08/11/2019,Efectivo,SI
2489,124,367,30/11/2019,Efectivo,SI
3831,21,143,01/08/2018,Efectivo,SI
61,129,143,14/11/2017,Credito,SI
3412,22,588,03/12/2019,Efectivo,SI
1194,70,358,17/10/2017,Efectivo,SI
3937,61,210,08/09/2019,Credito,SI
940,91,330,01/08/2016,Credito,SI
2284,6,273,25/06/2016,Credito,SI
1253,61,380,30/04/2018,Credito,SI
2234,97,316,12/09/2017,Credito,SI
3584,126,556,14/06/2015,Credito,SI
2895,123,78,16/09/2019,Efectivo,SI
3854,40,293,07/08/2018,Credito,NO
3736,139,600,22/02/2018,Credito,NO
3143,68,131,30/09/2016,Credito,NO
3191,22,188,08/09/2019,Credito,SI
3098,101,566,06/10/2017,Credito,SI
971,3,18,18/01/2019,Credito,NO
1987,29,322,31/01/2018,Credito,SI
3712,99,133,25/05/2015,Efectivo,NO
2613,59,211,09/07/2016,Efectivo,NO
1085,125,60,27/04/2018,Efectivo,NO
593,124,524,15/07/2017,Efectivo,SI
3540,79,367,20/01/2017,Credito,NO
3333,8,171,28/01/2019,Credito,SI
935,21,530,28/08/2017,Efectivo,SI
2125,134,246,14/06/2016,Efectivo,SI
1869,37,92,24/03/2016,Credito,SI
3286,110,389,18/01/2018,Efectivo,NO
3570,65,363,21/08/2019,Efectivo,NO
2475,14,153,27/12/2016,Efectivo,NO
3669,37,100,30/05/2016,Credito,NO
2386,9,159,23/02/2015,Efectivo,SI
2949,5,532,18/09/2015,Efectivo,NO
2862,7,223,03/08/2015,Credito,NO
1072,27,389,23/09/2018,Efectivo,NO
1618,12,367,17/08/2018,Credito,NO
1696,106,186,18/05/2016,Efectivo,NO
593,128,408,26/11/2019,Efectivo,NO
163,4,489,24/02/2019,Credito,NO
413,126,146,26/01/2016,Efectivo,SI
2228,149,228,29/03/2017,Credito,NO
685,63,352,21/12/2019,Credito,SI
3204,116,207,27/10/2017,Efectivo,SI
3322,130,54,06/03/2019,Credito,SI
1787,122,452,17/12/2018,Credito,SI
1129,119,439,24/12/2018,Credito,SI
1362,74,385,17/06/2019,Efectivo,NO
918,72,143,07/06/2018,Credito,NO
2603,129,222,25/08/2018,Credito,SI
2611,24,500,30/08/2016,Efectivo,SI
3418,40,15,02/09/2017,Efectivo,SI
2810,7,581,05/02/2018,Efectivo,NO
928,55,313,30/06/2015,Efectivo,NO
3204,157,381,15/09/2019,Credito,SI
2092,89,492,28/03/2016,Efectivo,NO
2344,5,101,05/01/2015,Credito,SI
1736,59,460,01/06/2015,Credito,SI
208,152,56,15/03/2018,Credito,SI
1337,67,295,18/10/2016,Efectivo,SI
2280,133,7,24/11/2016,Credito,NO
3482,10,332,15/07/2015,Efectivo,NO
431,87,63,07/07/2017,Efectivo,SI
2670,53,426,07/03/2015,Credito,SI
875,57,37,31/05/2017,Efectivo,NO
1313,110,355,07/02/2017,Efectivo,NO
1341,87,286,01/08/2016,Credito,SI
3604,31,601,10/06/2019,Credito,NO
233,6,211,07/08/2015,Efectivo,NO
1128,74,390,07/04/2017,Efectivo,SI
2700,37,335,13/02/2016,Efectivo,NO
575,103,272,24/02/2018,Credito,SI
960,105,259,06/06/2018,Efectivo,SI
2388,33,217,20/03/2019,Efectivo,SI
3230,139,555,25/12/2016,Credito,SI
2807,146,544,03/02/2017,Efectivo,NO
3934,11,351,24/05/2017,Efectivo,NO
586,72,323,02/12/2017,Efectivo,SI
1571,72,476,10/08/2017,Efectivo,SI
1011,93,157,13/12/2015,Efectivo,SI
2484,113,239,27/04/2018,Efectivo,NO
1402,30,582,22/08/2018,Efectivo,SI
3028,107,271,12/02/2017,Efectivo,SI
3677,92,8,09/11/2015,Efectivo,NO
3282,143,387,22/05/2016,Efectivo,SI
3284,138,316,06/10/2015,Credito,NO
2185,115,128,01/05/2015,Efectivo,SI
2203,139,583,03/04/2017,Efectivo,NO
620,81,394,26/07/2019,Efectivo,SI
3681,41,582,17/09/2019,Credito,SI
74,100,6,23/09/2019,Credito,NO
2757,24,45,25/12/2017,Efectivo,SI
4000,77,53,13/04/2015,Efectivo,NO
2288,28,258,18/01/2015,Credito,SI
1696,36,99,12/12/2016,Credito,NO
1403,147,202,03/01/2015,Credito,NO
211,153,305,23/04/2019,Credito,SI
3489,113,446,08/09/2018,Efectivo,SI
3161,57,45,27/04/2015,Efectivo,NO
303,24,246,18/07/2015,Efectivo,SI
2028,61,102,10/03/2016,Efectivo,SI
626,81,399,17/01/2019,Credito,NO
1180,132,329,09/03/2019,Credito,SI
3089,155,219,07/02/2017,Efectivo,NO
1454,4,589,20/03/2019,Credito,NO
2967,39,151,08/06/2018,Credito,NO
287,27,62,08/04/2017,Efectivo,SI
404,154,320,23/01/2017,Efectivo,SI
3120,77,31,27/03/2015,Credito,SI
1460,153,216,20/07/2016,Credito,SI
2628,9,601,22/03/2018,Credito,SI
3650,121,391,25/09/2018,Credito,NO
3785,116,31,13/02/2019,Efectivo,NO
3846,69,517,12/12/2019,Credito,SI
1257,111,549,11/02/2017,Efectivo,NO
1338,21,237,20/12/2017,Credito,SI
3015,125,472,01/08/2018,Efectivo,NO
3460,76,495,16/07/2015,Efectivo,NO
1079,146,437,26/12/2017,Efectivo,SI
1329,16,371,18/06/2018,Credito,SI
1610,23,99,28/04/2016,Credito,NO
3834,102,584,06/01/2019,Credito,SI
3590,79,168,17/03/2016,Credito,SI
249,2,279,03/02/2019,Credito,SI
1869,139,450,17/09/2017,Efectivo,NO
2711,133,548,01/11/2019,Credito,SI
1924,66,187,11/01/2017,Credito,SI
690,62,418,07/07/2016,Efectivo,SI
3544,124,269,12/09/2017,Efectivo,SI
476,92,326,06/08/2019,Credito,NO
3075,128,69,02/09/2015,Credito,NO
3412,81,173,19/06/2015,Credito,SI
2375,69,593,15/01/2015,Credito,SI
378,12,536,13/01/2017,Credito,SI
1939,95,491,01/08/2017,Efectivo,SI
3455,5,588,18/03/2019,Credito,SI
687,11,281,01/05/2015,Efectivo,NO
3299,66,378,18/09/2019,Credito,SI
549,92,27,05/09/2016,Efectivo,SI
1926,87,397,13/03/2015,Credito,NO
1313,129,558,03/10/2016,Efectivo,NO
3284,106,55,26/06/2019,Credito,NO
3190,68,454,03/10/2015,Credito,NO
3379,36,377,17/07/2019,Credito,NO
41,71,448,07/02/2017,Efectivo,SI
2212,136,499,29/12/2018,Efectivo,SI
2822,12,550,02/07/2015,Credito,SI
2026,102,287,16/12/2015,Efectivo,SI
2967,13,247,11/10/2017,Efectivo,SI
3383,87,264,13/05/2016,Efectivo,SI
506,5,494,24/11/2015,Efectivo,NO
1420,46,604,13/06/2018,Credito,NO
1440,93,288,06/05/2016,Credito,NO
232,73,271,21/04/2016,Credito,NO
2694,76,234,17/11/2018,Efectivo,NO
3066,136,283,12/02/2017,Efectivo,NO
343,80,289,15/04/2015,Credito,SI
2290,136,345,02/03/2018,Credito,NO
1863,45,314,23/07/2018,Efectivo,SI
141,122,80,29/09/2019,Credito,NO
3695,72,401,02/06/2017,Credito,SI
218,82,233,01/04/2015,Efectivo,SI
3468,116,43,20/03/2019,Credito,NO
2270,123,120,05/08/2017,Efectivo,SI
2178,29,544,21/09/2017,Efectivo,SI
508,79,490,05/07/2017,Efectivo,NO
418,19,250,06/12/2015,Credito,SI
3030,148,366,03/04/2017,Efectivo,NO
3616,30,91,20/06/2017,Efectivo,SI
3517,103,279,13/03/2018,Efectivo,NO
2396,63,224,23/04/2018,Efectivo,SI
3917,82,568,26/04/2016,Credito,NO
2860,82,56,25/07/2019,Efectivo,SI
239,110,380,26/10/2015,Efectivo,NO
3132,52,5,10/01/2019,Credito,SI
2189,51,423,28/09/2019,Efectivo,NO
3090,150,392,25/09/2019,Credito,NO
3870,44,506,27/10/2019,Efectivo,NO
2184,115,256,02/07/2015,Efectivo,NO
387,117,351,14/07/2016,Credito,NO
1364,151,32,11/08/2015,Efectivo,SI
903,49,72,04/09/2016,Efectivo,SI
3085,93,441,21/11/2019,Credito,SI
1035,142,13,24/06/2019,Credito,NO
2436,111,171,14/02/2017,Efectivo,SI
2191,3,354,24/06/2016,Efectivo,SI
2378,51,20,05/06/2015,Efectivo,NO
622,39,409,03/01/2015,Credito,NO
2930,69,96,23/07/2017,Efectivo,NO
3231,135,133,06/12/2018,Efectivo,SI
1953,74,88,25/04/2017,Credito,SI
2522,127,88,20/04/2016,Credito,SI
3217,63,507,04/12/2016,Credito,SI
432,121,493,11/07/2019,Credito,SI
2906,152,76,28/12/2016,Credito,SI
2099,89,187,25/06/2015,Credito,SI
3464,90,43,09/01/2018,Credito,NO
1016,28,309,25/03/2019,Credito,NO
3012,119,395,13/01/2016,Credito,NO
293,153,444,29/06/2017,Credito,NO
3919,86,398,04/03/2017,Efectivo,NO
3830,8,386,23/09/2019,Credito,SI
577,11,564,20/02/2016,Efectivo,SI
12,120,88,13/09/2015,Credito,SI
3585,12,509,27/05/2017,Credito,SI
2500,130,386,17/06/2018,Credito,NO
3198,17,6,12/10/2015,Credito,SI
423,150,183,01/10/2017,Credito,SI
3610,9,438,02/09/2018,Credito,SI
2697,34,599,08/01/2019,Credito,NO
2489,13,449,05/07/2019,Efectivo,NO
211,154,161,06/11/2015,Efectivo,SI
1052,136,148,30/11/2018,Efectivo,NO
2186,125,188,22/11/2019,Efectivo,NO
3494,93,137,01/05/2015,Efectivo,SI
2511,12,231,08/10/2019,Efectivo,SI
308,35,389,15/05/2016,Credito,NO
1284,44,11,04/01/2018,Credito,NO
3907,5,190,03/02/2018,Credito,SI
715,91,441,01/08/2017,Efectivo,SI
35,7,289,05/06/2016,Credito,SI
1622,55,490,16/10/2016,Efectivo,SI
2136,107,377,01/09/2015,Efectivo,NO
418,151,33,03/07/2018,Credito,SI
545,41,240,19/08/2017,Credito,SI
3770,125,39,24/12/2015,Credito,NO
106,29,570,04/06/2019,Credito,SI
2446,108,226,21/07/2015,Credito,SI
3073,68,364,12/12/2017,Efectivo,NO
42,124,65,13/10/2015,Credito,NO
2353,69,213,12/04/2017,Efectivo,SI
3581,116,257,28/10/2019,Credito,SI
3743,124,6,28/05/2018,Credito,SI
1624,66,494,01/04/2015,Efectivo,NO
1441,57,448,19/08/2019,Credito,SI
3109,52,94,06/07/2019,Efectivo,SI
657,31,136,02/05/2015,Efectivo,SI
16,22,90,02/03/2015,Credito,SI
466,3,347,05/08/2015,Efectivo,NO
869,108,12,18/09/2017,Credito,SI
2577,134,202,06/12/2019,Credito,NO
3352,79,96,10/10/2015,Efectivo,SI
2598,146,279,27/12/2018,Credito,SI
2791,120,131,04/01/2015,Credito,SI
3021,46,164,28/11/2016,Efectivo,NO
2397,23,73,10/10/2016,Credito,SI
1404,95,379,23/06/2015,Efectivo,SI
3813,62,343,02/12/2015,Credito,NO
1076,92,267,10/09/2015,Efectivo,NO
1656,34,499,05/12/2017,Credito,SI
58,97,595,15/09/2016,Efectivo,NO
2431,11,450,01/09/2017,Credito,NO
3726,95,20,02/03/2019,Credito,NO
391,71,379,15/01/2015,Efectivo,NO
3134,102,209,27/12/2015,Credito,NO
1177,19,560,09/11/2019,Efectivo,NO
1655,74,457,02/09/2017,Credito,SI
3249,11,32,28/08/2016,Efectivo,NO
2710,93,297,23/01/2016,Credito,SI
17,123,264,17/05/2019,Credito,NO
2373,97,402,22/05/2019,Credito,SI
1262,11,240,01/06/2016,Credito,NO
1626,47,206,29/12/2018,Credito,NO
248,79,421,03/03/2015,Credito,NO
81,148,339,29/12/2019,Credito,NO
1824,138,544,20/03/2019,Efectivo,NO
2334,16,166,07/05/2018,Credito,NO
1609,37,217,25/03/2016,Credito,NO
1525,125,443,07/03/2018,Efectivo,NO
816,24,156,30/08/2019,Credito,NO
712,154,505,04/08/2018,Efectivo,SI
3593,53,184,18/01/2018,Credito,SI
837,127,24,27/12/2015,Efectivo,NO
2778,141,30,31/03/2019,Efectivo,SI
108,129,285,19/03/2016,Efectivo,SI
2528,2,441,03/11/2018,Credito,NO
2147,9,596,27/02/2018,Efectivo,SI
366,88,212,04/08/2015,Credito,NO
2127,56,38,14/01/2015,Efectivo,SI
2138,11,242,19/10/2015,Credito,NO
2570,155,567,19/10/2019,Credito,NO
869,123,143,18/08/2018,Credito,SI
1764,38,192,21/10/2016,Credito,SI
3442,141,20,28/08/2019,Credito,NO
2470,113,92,18/03/2018,Efectivo,SI
3022,114,63,24/10/2019,Efectivo,NO
556,71,116,29/06/2017,Credito,SI
1649,143,67,13/05/2015,Credito,SI
1246,41,231,01/06/2015,Credito,SI
2487,68,340,18/08/2017,Credito,SI
3764,76,33,19/02/2015,Efectivo,SI
1235,101,207,30/06/2017,Efectivo,NO
1461,74,162,04/07/2019,Efectivo,NO
953,137,222,31/10/2016,Efectivo,NO
109,106,499,04/02/2018,Credito,NO
235,30,596,15/01/2016,Efectivo,SI
2443,154,531,18/01/2017,Credito,NO
390,14,260,04/06/2015,Credito,NO
87,69,531,22/11/2016,Credito,NO
2677,26,400,20/08/2019,Credito,SI
3790,62,572,12/07/2018,Credito,SI
2192,51,257,08/08/2018,Efectivo,NO
1819,4,145,20/09/2019,Efectivo,NO
1221,43,367,09/06/2017,Credito,NO
3826,128,565,17/11/2016,Efectivo,NO
3494,22,161,25/06/2017,Efectivo,NO
327,81,513,01/01/2019,Efectivo,SI
249,64,385,25/11/2017,Credito,SI
2413,112,326,20/12/2017,Efectivo,NO
2688,28,125,25/10/2018,Credito,NO
1746,98,55,25/03/2017,Efectivo,NO
838,148,372,30/05/2016,Credito,NO
3606,109,431,09/10/2019,Efectivo,SI
2802,58,18,26/11/2017,Credito,SI
1745,77,215,18/07/2016,Efectivo,SI
2328,59,602,06/03/2016,Efectivo,NO
2268,107,572,02/02/2018,Credito,SI
265,146,288,06/05/2017,Efectivo,SI
188,108,316,20/08/2018,Credito,SI
3457,37,493,22/02/2015,Efectivo,SI
1722,40,573,13/01/2019,Efectivo,SI
3572,53,168,03/11/2019,Credito,NO
1133,25,592,28/03/2018,Efectivo,SI
798,57,377,08/06/2018,Efectivo,SI
533,62,431,01/02/2016,Credito,NO
353,47,232,28/12/2019,Credito,SI
163,156,562,25/04/2017,Efectivo,NO
2935,27,524,03/12/2015,Efectivo,NO
470,52,35,22/12/2019,Efectivo,NO
